Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189382,0.0,26.07936507936508,-0.23728928,-1.1302640026907127,-1.1302640026907127,1.0
20000,1.4189383,0.0,40.97435897435897,-0.25244364,-1.2127692360017035,-1.2127692360017035,1.0
30000,1.4103091,0.0,50.828125,-0.4335477,-0.2092835009866154,-0.2092835009866154,1.0
40000,1.4088179,0.0,75.34042553191489,-0.3768131,0.10233575404778014,0.10233575404778014,1.0
50000,1.4072328,0.0,85.94444444444444,-0.21313074,2.131181804395535,2.131181804395535,1.0
60000,1.4071198,0.0,105.35483870967742,-0.23713405,2.9355684613710955,2.9355684613710955,1.0
70000,1.4092789,0.0,69.85106382978724,-0.058250263,3.340207113059504,3.340207113059504,1.0
80000,1.4099846,0.0,79.88095238095238,-0.085554324,3.0336000685691835,3.0336000685691835,1.0
90000,1.4089772,0.0,74.81395348837209,0.11830343,4.004274826013405,4.004274826013405,1.0
100000,1.4083521,1.0,45.611111111111114,0.06470118,4.2244884249949175,4.2244884249949175,1.0
110000,1.4109131,2.0,40.45679012345679,0.28173444,4.721425686185517,4.721425686185517,1.0
120000,1.4121246,3.0,38.95180722891566,0.3367702,4.441468029618263,4.441468029618263,1.0
130000,1.4135265,5.0,35.84444444444444,0.5152844,4.48327777609574,4.48327777609574,1.0
140000,1.4151947,6.0,38.61176470588235,0.6738756,4.804921274110089,4.804921274110089,1.0
150000,1.4176165,7.0,45.76712328767123,0.6948262,1.715361134873496,1.715361134873496,1.0
160000,1.4214954,7.0,54.55172413793103,0.9564817,0.007474573318567653,0.007474573318567653,1.0
170000,1.4212472,7.0,61.56603773584906,0.8680505,-0.9353850720832066,-0.9353850720832066,1.0
180000,1.4207541,7.0,53.12903225806452,0.74225223,0.18176215939425133,0.18176215939425133,1.0
190000,1.4193776,7.0,55.728813559322035,0.84483165,-0.1629943605196678,-0.1629943605196678,1.0
200000,1.4167379,7.0,42.39473684210526,0.885135,1.7528384484057864,1.7528384484057864,1.0
210000,1.4160466,7.0,42.42857142857143,0.87100196,1.5472034540237027,1.5472034540237027,1.0
220000,1.4140567,7.0,40.625,0.9798795,2.494316655397415,2.494316655397415,1.0
230000,1.4140286,7.0,38.79761904761905,0.9994674,2.081699996948242,2.081699996948242,1.0
240000,1.4139098,7.0,32.292929292929294,1.1437832,3.3659436877705895,3.3659436877705895,1.0
250000,1.4136095,8.0,24.83076923076923,1.2916425,3.9451907037459697,3.9451907037459697,1.0
260000,1.4109157,9.0,26.808333333333334,1.2084535,2.8800166361033916,2.8800166361033916,1.0
270000,1.4107122,9.0,32.36363636363637,1.2902768,2.4265217446164544,2.4265217446164544,1.0
280000,1.404251,9.0,30.761904761904763,1.4129515,2.652803177303738,2.652803177303738,1.0
290000,1.4042509,9.0,30.75925925925926,1.5514654,2.9839618008607514,2.9839618008607514,1.0
300000,1.4075775,9.0,29.047169811320753,1.7090315,3.09131828371111,3.09131828371111,1.0
310000,1.4075775,9.0,29.513761467889907,1.6180229,2.6768527465638208,2.6768527465638208,1.0
320000,1.3993075,9.0,28.821428571428573,1.8834951,3.1742589002741233,3.1742589002741233,1.0
330000,1.3983743,9.0,25.1015625,1.9122443,3.512007812168691,3.512007812168691,1.0
340000,1.3964609,11.0,18.50877192982456,1.8521305,3.63690782651013,3.63690782651013,1.0
350000,1.396263,11.0,26.188524590163933,1.7325219,2.2486856316890176,2.2486856316890176,1.0
360000,1.3925447,11.0,25.62992125984252,2.0295854,2.912439141599905,2.912439141599905,1.0
370000,1.3917254,11.0,24.984251968503937,2.199351,3.090770217752955,3.090770217752955,1.0
380000,1.390252,11.0,24.68217054263566,2.1982338,3.0736863391718092,3.0736863391718092,1.0
390000,1.3897879,11.0,23.282608695652176,2.2876332,3.1617409039929183,3.1617409039929183,1.0
400000,1.3868146,11.0,23.272058823529413,2.3527145,3.4058564473895263,3.4058564473895263,1.0
410000,1.3855704,11.0,22.68794326241135,2.3022618,3.177374371737948,3.177374371737948,1.0
420000,1.3822527,12.0,18.67058823529412,2.1909757,3.245294077767461,3.245294077767461,1.0
430000,1.3796651,12.0,25.070866141732285,2.3846533,2.834767584000804,2.834767584000804,1.0
440000,1.37772,12.0,23.53676470588235,2.3136587,2.8299311665264337,2.8299311665264337,1.0
450000,1.3763517,12.0,25.165354330708663,2.3361108,2.524098673811207,2.524098673811207,1.0
460000,1.3736587,12.0,23.152173913043477,2.4544504,3.0698980397174083,3.0698980397174083,1.0
470000,1.3714777,12.0,22.09027777777778,2.4998178,3.0391820027119554,3.0391820027119554,1.0
480000,1.3708115,13.0,19.746913580246915,2.195217,2.6998736948067976,2.6998736948067976,1.0
490000,1.3694305,13.0,24.244274809160306,2.089873,2.0374111482485904,2.0374111482485904,1.0
500000,1.3689839,13.0,25.023076923076925,2.2019715,2.4698217163098257,2.4698217163098257,1.0
510000,1.3681715,13.0,27.11111111111111,2.0496209,1.9344999633645743,1.9344999633645743,1.0
520000,1.3673227,13.0,23.386861313868614,2.3422036,3.0339706984235018,3.0339706984235018,1.0
530000,1.3655256,13.0,24.213740458015266,1.9921769,2.263717866064019,2.263717866064019,1.0
540000,1.3645371,13.0,26.130081300813007,1.8537118,1.9722303173487103,1.9722303173487103,1.0
550000,1.361827,13.0,21.564625850340136,2.2127619,2.938443679664586,2.938443679664586,1.0
560000,1.3616066,13.0,25.03875968992248,1.9011171,2.054196871083635,2.054196871083635,1.0
570000,1.3602695,13.0,21.45578231292517,2.3431149,3.2368212518918567,3.2368212518918567,1.0
580000,1.3598088,13.0,22.93617021276596,2.056663,2.6975523726571176,2.6975523726571176,1.0
590000,1.3568281,13.0,20.24516129032258,2.455075,3.330952994262752,3.330952994262752,1.0
600000,1.3566589,13.0,21.246666666666666,2.2085454,2.7886422023508284,2.7886422023508284,1.0
610000,1.355085,13.0,20.94078947368421,2.1808484,2.8125572765845033,2.8125572765845033,1.0
620000,1.3550619,13.0,21.324675324675326,2.3221512,3.0813061638616257,3.0813061638616257,1.0
630000,1.352342,14.0,19.037037037037038,2.1204023,3.145580780103894,3.145580780103894,1.0
640000,1.3523419,14.0,25.846774193548388,1.6557575,1.6541458844980448,1.6541458844980448,1.0
650000,1.3485094,14.0,25.555555555555557,1.5870848,1.619464370616193,1.619464370616193,1.0
660000,1.3482229,14.0,24.666666666666668,1.8687673,2.344031073249529,2.344031073249529,1.0
670000,1.3447875,14.0,25.879032258064516,1.5277934,1.6669704850373575,1.6669704850373575,1.0
680000,1.3438097,14.0,24.753846153846155,1.9026593,2.4149487221470247,2.4149487221470247,1.0
690000,1.3448621,14.0,22.3943661971831,1.7200505,2.212379367276154,2.212379367276154,1.0
700000,1.3451647,14.0,23.233576642335766,1.4145557,1.7856204354922556,1.7856204354922556,1.0
710000,1.3406633,14.0,25.046153846153846,1.4560462,1.8421030675022643,1.8421030675022643,1.0
720000,1.3393325,14.0,22.905797101449274,1.6339207,2.1875121737580474,2.1875121737580474,1.0
730000,1.3376281,14.0,23.555555555555557,1.6603079,2.345172750253747,2.345172750253747,1.0
740000,1.336901,14.0,26.90909090909091,1.3389457,1.5506454238105678,1.5506454238105678,1.0
750000,1.3361093,14.0,21.95138888888889,1.5225983,2.3225034548283725,2.3225034548283725,1.0
760000,1.3356215,14.0,24.8062015503876,1.3933165,1.9966580104372353,1.9966580104372353,1.0
770000,1.3343312,14.0,22.91304347826087,1.4946468,2.004690650555727,2.004690650555727,1.0
780000,1.3334059,14.0,24.31297709923664,1.4642111,2.146384795840028,2.146384795840028,1.0
790000,1.3319811,14.0,21.45945945945946,1.5940835,2.506529292511242,2.506529292511242,1.0
800000,1.3307164,14.0,24.770992366412212,1.476003,2.3277033148214334,2.3277033148214334,1.0
810000,1.330597,14.0,21.648275862068967,1.5173415,2.525533154368128,2.525533154368128,1.0
820000,1.330476,14.0,23.696296296296296,1.4837842,2.537562985883819,2.537562985883819,1.0
830000,1.3309277,14.0,22.907801418439718,1.5291713,2.54280142001273,2.54280142001273,1.0
840000,1.3317329,14.0,20.789473684210527,1.8155929,3.10709412591593,3.10709412591593,1.0
850000,1.3305103,14.0,23.485294117647058,1.650695,2.4777753535604132,2.4777753535604132,1.0
860000,1.3274733,14.0,23.308823529411764,1.7413733,2.6085378608887235,2.6085378608887235,1.0
870000,1.3268863,14.0,21.286666666666665,1.7318884,2.770522209405899,2.770522209405899,1.0
880000,1.3247484,14.0,19.71604938271605,1.5698888,2.5764421453345414,2.5764421453345414,1.0
890000,1.3248378,14.0,20.29032258064516,1.9708205,3.165289089303041,3.165289089303041,1.0
900000,1.3254535,14.0,23.610294117647058,1.5644385,1.9722186756441575,1.9722186756441575,1.0
910000,1.3251058,14.0,21.779310344827586,1.5709194,2.3512465823016484,2.3512465823016484,1.0
920000,1.3222443,14.0,21.40268456375839,1.8203394,2.8950825791273798,2.8950825791273798,1.0
930000,1.3221822,14.0,19.595092024539877,1.7734259,2.791477290959644,2.791477290959644,1.0
940000,1.3209884,14.0,20.365384615384617,1.8841839,2.9717161341700504,2.9717161341700504,1.0
950000,1.3209884,14.0,20.4472049689441,2.0038486,3.082092464971943,3.082092464971943,1.0
960000,1.3152602,14.0,21.6056338028169,1.6758832,2.4569818264381453,2.4569818264381453,1.0
970000,1.3152602,14.0,19.3375,1.7203532,2.589101027151973,2.589101027151973,1.0
980000,1.3148738,14.0,20.649350649350648,1.8334653,2.5304350790716867,2.5304350790716867,1.0
990000,1.3148309,14.0,22.74468085106383,1.7413565,2.349584491057715,2.349584491057715,1.0
1000000,1.3144566,14.0,20.18471337579618,1.8016057,2.5488974233595734,2.5488974233595734,1.0
1010000,1.3143666,14.0,20.108974358974358,2.0907817,3.1504820602892822,3.1504820602892822,1.0
1020000,1.3114061,15.0,15.517412935323383,1.8733176,2.945665019991571,2.945665019991571,1.0
1030000,1.3106678,15.0,19.89375,1.8359265,2.8090755036354564,2.8090755036354564,1.0
1040000,1.3090469,15.0,19.974683544303797,2.1580937,3.1102291464805605,3.1102291464805605,1.0
1050000,1.3083992,15.0,18.497076023391813,2.1556346,3.013802343538421,3.013802343538421,1.0
1060000,1.3079301,15.0,19.825,1.9981685,2.910418747582783,2.910418747582783,1.0
